Table,Category,Variable Name,Variable Description,Other Details,
5,Current and Potential Life-threatening Diseases,LBXVDX,"Blood 1,4-Dioxane (ng/mL)","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVEA,Blood Ethyl Acetate (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVEB,Blood Ethylbenzene (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVEC,Blood Chloroethane (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVFN,Blood Furan (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVIPB,Blood Isopropylbenzene (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVMC,Blood Methylene Chloride (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVMCP,Blood Methylcyclopentane (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVME,Blood Methyl-tert-butyl ether (MTBE) (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVNB,Blood Nitrobenzene (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVOX,Blood o-Xylene (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVTC,Blood Trichloroethene (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVTE,"Blood 1,1,1-Trichloroethane (ng/mL)","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVTFT,Blood aaa - Trifluorotoluene (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVTHF,Blood Tetrahydrofuran (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVTO,Blood Toluene (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVTP,"Blood 1,2,3-Trichloropropane (ng/mL)","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVVB,Blood Vinyl Bromide (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXVXY,Blood m-/p-Xylene (ng/mL),"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SEQN,Respondent sequence number.,"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ200A,Do you currently store paints or fuels inside your home? Include your basement and attached garage.,"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ210,Does your home have an attached garage?,"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ220,Is the source of water for your home from a private well?,"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ231A,"Do you currently use moth balls, moth crystals or toilet bowl deodorizers inside your home?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ241A,"In the last 48 hours, did you cook or bake with natural gas?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ241B,"How long ago, in hours, did you cook or bake with natural gas?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ244A,"In the last 48 hours, did you pump gas into a car or other motor vehicle yourself?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ244B,"How long ago, in hours, did you pump gas into a car or other motor vehicle yourself?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ265A,"In the last 48 hours, did you smoke or spend 10 minutes near a person who was smoking a cigarette, cigar, or pipe?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ265B,"How long ago, in hours, has it been since you smoked or spent 10 or more minutes near a person who was smoking a cigarette, cigar, or pipe?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ271A,"In the last 48 hours, did you take a hot shower or bath for five minutes or longer?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ271B,"How long ago, in hours, has it been since your last shower or hot bath?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ281A,"In the last 48 hours, did you breathe fumes from freshly painted indoor surfaces, paints, paint thinner, or varnish?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ281B,"How long ago, in hours, has it been since you breathed fumes from freshly painted indoor surfaces, paints, paint thinner, or varnish?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ281C,"In the last 48 hours, did you breathe fumes from diesel fuel or kerosene?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ281D,"How long ago, in hours, has it been since you breathed fumes from diesel fuel or kerosene?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ281E,"In the last 48 hours, did you breathe fumes from fingernail polish?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,VTQ281F,"How long ago, in hours, has it been since you breathed fumes from fingernail polish?","['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,WTSVS2YR,Two year smoking weights,"['VOCWBS_H', 'Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SEQN,Respondent sequence number.,"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URDP01LC,1-Hydroxynaphthalene Comment Code,"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URDP02LC,2-Hydroxynaphthalene Comment Code,"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URDP03LC,3-Hydroxyfluorene Comment Code,"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URDP04LC,2-Hydroxyfluorene Comment Code,"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URDP06LC,1-Hydroxyphenanthrene Comment Code,"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URDP10LC,1-Hydroxypyrene Comment Code,"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URDP25LC,2-Hydroxyphenanthrene (ng/L) & 3-Hydroxyphenanthrene Comment Code,"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URXP01,1-Hydroxynaphthalene (ng/L),"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URXP02,2-Hydroxynaphthalene (ng/L),"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URXP03,3-Hydroxyfluorene (ng/L),"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URXP04,2-Hydroxyfluorene (ng/L),"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URXP06,1-Hydroxyphenanthrene (ng/L),"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URXP10,1-Hydroxypyrene (ng/L),"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URXP25,2-Hydroxyphenanthrene (ng/L) & 3-Hydroxyphenanthrene (ng/L),"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URXUCR,Urinary Creatinine,"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,WTFSM,Two Year Smoking Weights,"['PAHS_H', 'Polycyclic Aromatic Hydrocarbons (PAH) - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBDR06,HPV type 6,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR11,HPV type 11,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR16,HPV type 16,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR18,HPV type 18,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR26,HPV type 26,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR31,HPV type 31,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR33,HPV type 33,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR35,HPV type 35,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR39,HPV type 39,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR40,HPV type 40,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR42,HPV type 42,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR45,HPV type 45,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR51,HPV type 51,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR52,HPV type 51,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR53,HPV type 53,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR54,HPV type 54,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR55,HPV type 55,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR56,HPV type 56,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR58,HPV type 58,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR59,HPV type 59,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR61,HPV type 61,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR62,HPV type 62,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR64,HPV type 64,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR66,HPV type 66,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR67,HPV type 67,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR68,HPV type 68,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR69,HPV type 69,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR70,HPV type 70,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR71,HPV type 71,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR72,HPV type 72,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR73,HPV type 73,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR81,HPV type 81,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR82,HPV type 82,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR83,HPV type 83,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR84,HPV type 84,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDR89,HPV type 89,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDRHP,Roche LA high positive globin control,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDRLP,Roche LA low positive globin control,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDRPCR,Roche HPV linear array (LA) summary result,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBDRPI,HPV type IS39,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,LBXHP2C,Cobas HPV Swab High Risk,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,SEQN,Respondent sequence number.,"['HPVS_H_R', 'Human Papillomavirus (HPV) DNA - Vaginal Swab: Roche Cobas & Roche Linear Array - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,SEQN,Respondent sequence number.,"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSBCEP,Bis(2-chloroethyl) phosphate (ug/L),"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSBCEPL,Bis(2-chloroethyl) phosphate comment code,"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSBCPP,Bis(1-chloro-2-propyl) phosphate (ug/L),"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSBCPPL,Bis(1-chloro-2-propyl) phosphate comment code,"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSBDCPP,"Bis(1,3-dichloro-2-propyl) phosphate (ug/L)","['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSBDCPPL,"Bis(1,3-dichloro-2-propyl) phosphate comment code","['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSDBUP,Dibutyl phosphate (ug/L),"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSDBUPL,Dibutyl phosphate comment code,"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSDBZP,Dibenzyl phosphate (ug/L),"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSDBZPL,Dibenzyl phosphate comment code,"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSDOCP,Di-o-cresyl phosphate (ug/L),"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSDOCPL,Di-o-cresyl phosphate comment code,"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSDPCP,Di-p-cresyl phosphate (ug/L),"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSDPCPL,Di-p-cresyl phosphate comment code,"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSDPHP,Diphenyl phosphate (ug/L),"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSDPHPL,Diphenyl phosphate comment code,"['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSTBBA,"2,3,4,5-tetrabromobenzoic acid (ug/L)","['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSTBBAL,"2,3,4,5-tetrabromobenzoic acid comment code","['SSFLRT_H', 'Flame Retardant Metabolites - Urine (Surplus)', '2013', '2014', 'Laboratory', 'None']",
